StudyID	FileName in DB	Aims	Dataset details	Data imbalance?	Architecture	Hyperparameter	#ofPerf Metrics	ComparedModels	StatisticalTests	Limitations/TtV	Total	Qualified
156	[162]2024 - Zhixuan Shen - An Empirical Systematic Study of Deep Learning-Based Software Defect Prediction Models in Complex Systems	1	1	0.5	1	0.5	1	0.5	0	0.5	6	1
157	[163]2024 - Xiangkang Li - CSTLineDP A Fine-grained Software Defect Prediction Framework Based on CST and Bi-GRU	1	1	1	1	0.5	1	1	0	1	7.5	1
158	[164]2024 - Chongyang Huang - Software Defect Prediction Model Based on Syntactic Semantics and Flow Information Features	1	1	1	1	0.5	1	1	0	0.5	7	1
159	[165]2023 - Guohong Pei - Hybrid Population Intelligence and Deep Learning Research for Software Defect Prediction	1	1	0.5	1	0.5	1	1	0	0.5	6.5	1
160	[166]2024 - Sai Krishna Gunda - A Deep Dive into Software Fault Prediction Evaluating CNN and RNN Models	1	1	0.5	1	0	1	0.5	0	0.5	5.5	1
161	[168]2022 - Ho A - Combining Deep Learning and Kernel PCA for Software Defect Prediction	1	1	1	1	1	1	1	0.5	1	8.5	1
162	[170]2020 - J. Tian - A Model Based on Program Slice and Deep Learning for Software Defect Prediction	1	1	1	1	1	1	1	1	1	9	1
163	[184]2019 - H. D. Tran - Combining feature selection, feature learning and ensemble learning for software fault prediction	1	1	1	1	0.5	1	0.5	0	0	6	1
164	[185]2019 - H. Li - Cross-project Defect Prediction via ASTToken2Vec and BLSTM-based Neural Network	1	1	1	1	0.5	1	1	0.5	0.5	7.5	1
165	[186]2025 - Z. Liu - CAFEM: Context-Aware Feature Enhancement with Multi-Stage Sampling for Statement-Level Defect Prediction	1	1	1	1	1	1	1	0	0.5	7.5	1
166	[190]2021 - Z Li - Software defect prediction based on hybrid swarm intelligence and deep learning	1	1	0	1	0.5	1	1	0	0	5.5	1
167	[192]2024 - AA Aihong - An optimized deep learning method for software defect prediction using Whale Optimization Algorithm	1	1	0.5	1	1	1	0.5	0	0.5	6.5	1
